Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,None
0:25,,,0,,,,,
0:30,,,0,,,,,
0:35,,,0,,,,,
0:40,,,0,,,,,
0:45,,,0,,,,,
0:50,,,0,,,,,
0:55,,,0,,,,,
1:00,,,0,,,,,
1:05,,,0,,,,,
1:10,,,0,,,,,
1:15,,,0,,,,,
1:20,,,0,,,,,
1:25,,,0,,,,,
1:30,,,0,,,,,
1:35,,,0,,,,,
1:40,,,0,,,,,
1:45,,,0,,,,,
1:50,,,0,,,,,
1:55,,,0,,,,,
2:00,,,0,,,,,
2:05,,,0,,,,,
2:10,,,0,,,,,
2:15,,,0,,,,,
2:20,,,0,,,,,
2:25,,,0,,,,,
2:30,,,0,,,,,
2:35,,,0,,,,,
2:40,,,0,,,,,
2:45,,,0,,,,,
2:50,,,0,,,,,
2:55,,,0,,,,,
3:00,,,0,,,,,
3:05,,,0,,,,,
3:10,,,0,,,,,
3:15,,,0,,,,,
3:20,,,0,,,,,
3:25,,,0,,,,,
3:30,,,0,,,,,
3:35,,,0,,,,,
3:40,,,0,,,,,
3:45,,,0,,,,,
3:50,,,0,,,,,
3:55,,,0,,,,,
4:00,,,0,,,,,
4:05,,,0,,,,,
4:10,,,0,,,,,
4:15,,,0,,,,,
4:20,,,0,,,,,
4:25,,,0,,,,,
4:30,,,0,,,,,
4:35,,,0,,,,,
4:40,,,0,,,,,
4:45,,,0,,,,,
4:50,,,0,,,,,
4:55,,,0,,,,,
5:00,,,0,,,,,
5:05,,,0,,,,,
5:10,,,0,,,,,
5:15,,,0,,,,,
5:20,,,0,,,,,
5:25,,,0,,,,,
5:30,,,0,,,,,
5:35,,,0,,,,,
5:40,,,0,,,,,
5:45,,,0,,,,,
5:50,,,0,,,,,
5:55,,,0,,,,,
6:00,,,0,,,,,
6:05,,,0,,,,,
6:10,,,0,,,,,
6:15,,,1,,,,,
6:20,,,1,,,,,
6:25,,,1,,,,,
6:30,,,1,,,,,
6:35,,,1,,,,,
6:40,,,1,,,,,
6:45,,,1,,,,,
6:50,,,2,,,,,
6:55,,,3,,,,,
7:00,,,5,,,,,
7:05,,,6,,,,,
7:10,,,7,,,,,
7:15,,,8,,,,,
7:20,,,9,,,,,
7:25,,,8,,,,,
7:30,,,6,,,,,
7:35,,,7,,,,,
7:40,,,6,,,,,
7:45,,,8,,,,,
7:50,,,10,,,,,
7:55,,,11,,,,,
8:00,,,12,,,,,
8:05,,,12,,,,,
8:10,,,13,,,,,
8:15,,,13,,,,,
8:20,,,17,,,,,
8:25,,,26,,,,,
8:30,,,28,,,,,
8:35,,,20,,,,,
8:40,,,24,,,,,
8:45,,,29,,,,,
8:50,,,30,,,,,
8:55,,,32,,,,,
9:00,,,32,,,,,
9:05,,,35,,,,,
9:10,,,37,,,,,
9:15,,,37,,,,,
9:20,,,37,,,,,
9:25,,,36,,,,,
9:30,,,44,,,,,
9:35,,,45,,,,,
9:40,,,46,,,,,
9:45,,,42,,,,,
9:50,,,44,,,,,
9:55,,,46,,,,,
10:00,,,45,,,,,
10:05,,,44,,,,,
10:10,,,46,,,,,
10:15,,,47,,,,,
10:20,,,46,,,,,
10:25,,,46,,,,,
10:30,,,44,,,,,
10:35,,,48,,,,,
10:40,,,45,,,,,
10:45,,,54,,,,,
10:50,,,54,,,,,
10:55,,,54,,,,,
11:00,,,66,,,,,
11:05,,,69,,,,,
11:10,,,64,,,,,
11:15,,,68,,,,,
11:20,,,66,,,,,
