Time of Day,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,None
0:25,,,0,,,,,
0:30,,,0,,,,,
0:35,,,0,,,,,
0:40,,,0,,,,,
0:45,,,0,,,,,
0:50,,,0,,,,,
0:55,,,0,,,,,
1:00,,,0,,,,,
1:05,,,0,,,,,
1:10,,,0,,,,,
1:15,,,0,,,,,
1:20,,,0,,,,,
1:25,,,0,,,,,
1:30,,,0,,,,,
1:35,,,0,,,,,
1:40,,,0,,,,,
1:45,,,0,,,,,
1:50,,,0,,,,,
1:55,,,0,,,,,
2:00,,,0,,,,,
2:05,,,0,,,,,
2:10,,,0,,,,,
2:15,,,0,,,,,
2:20,,,0,,,,,
2:25,,,0,,,,,
2:30,,,0,,,,,
2:35,,,0,,,,,
2:40,,,0,,,,,
2:45,,,0,,,,,
2:50,,,0,,,,,
2:55,,,0,,,,,
3:00,,,0,,,,,
3:05,,,0,,,,,
3:10,,,0,,,,,
3:15,,,0,,,,,
3:20,,,0,,,,,
3:25,,,0,,,,,
3:30,,,0,,,,,
3:35,,,0,,,,,
3:40,,,0,,,,,
3:45,,,0,,,,,
3:50,,,0,,,,,
3:55,,,0,,,,,
4:00,,,0,,,,,
4:05,,,0,,,,,
4:10,,,0,,,,,
4:15,,,0,,,,,
4:20,,,0,,,,,
4:25,,,0,,,,,
4:30,,,0,,,,,
4:35,,,0,,,,,
4:40,,,0,,,,,
4:45,,,0,,,,,
4:50,,,0,,,,,
4:55,,,0,,,,,
5:00,,,0,,,,,
5:05,,,0,,,,,
5:10,,,0,,,,,
5:15,,,0,,,,,
5:20,,,0,,,,,
5:25,,,0,,,,,
5:30,,,0,,,,,
5:35,,,0,,,,,
5:40,,,0,,,,,
5:45,,,0,,,,,
5:50,,,0,,,,,
5:55,,,0,,,,,
6:00,,,0,,,,,
6:05,,,0,,,,,
6:10,,,0,,,,,
6:15,,,0,,,,,
6:20,,,0,,,,,
6:25,,,0,,,,,
6:30,,,5,,,,,
6:35,,,5,,,,,
6:40,,,5,,,,,
6:45,,,5,,,,,
6:50,,,5,,,,,
6:55,,,5,,,,,
7:00,,,5,,,,,
7:05,,,5,,,,,
7:10,,,5,,,,,
7:15,,,5,,,,,
7:20,,,5,,,,,
7:25,,,5,,,,,
7:30,,,5,,,,,
7:35,,,6,,,,,
7:40,,,7,,,,,
7:45,,,7,,,,,
7:50,,,8,,,,,
7:55,,,9,,,,,
8:00,,,10,,,,,
8:05,,,10,,,,,
8:10,,,10,,,,,
8:15,,,11,,,,,
8:20,,,12,,,,,
8:25,,,12,,,,,
8:30,,,12,,,,,
8:35,,,12,,,,,
8:40,,,13,,,,,
8:45,,,14,,,,,
8:50,,,13,,,,,
8:55,,,16,,,,,
9:00,,,42,,,,,
9:05,,,46,,,,,
9:10,,,45,,,,,
9:15,,,42,,,,,
9:20,,,45,,,,,
9:25,,,42,,,,,
9:30,,,44,,,,,
9:35,,,45,,,,,
9:40,,,42,,,,,
9:45,,,43,,,,,
9:50,,,45,,,,,
9:55,,,43,,,,,
10:00,,,55,,,,,
10:05,,,56,,,,,
10:10,,,58,,,,,
10:15,,,57,,,,,
10:20,,,54,,,,,
10:25,,,57,,,,,
10:30,,,56,,,,,
10:35,,,57,,,,,
10:40,,,55,,,,,
10:45,,,56,,,,,
10:50,,,56,,,,,
10:55,,,57,,,,,
11:00,,,66,,,,,
11:05,,,68,,,,,
11:10,,,65,,,,,
11:15,,,68,,,,,
11:20,,,68,,,,,
